,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,"b'173378.34143,'","b'3,'","b'0.276,'","b'-0.489,'","b'9.993,'","b'4,'","b'-0.001,'","b'0.001,'","b'-0.000,'","b'86,'",b'32',,,,,,,,,,,,,,,,,,,
0,"b'173378.34279,'","b'3,'","b'0.272,'","b'-0.489,'","b'9.977,'","b'4,'","b'-0.001,'","b'0.000,'","b'-0.000,'","b'81,'","b'268.460,'","b'2.750,'","b'1.550,'","b'82,'","b'0.009,'","b'-0.009,'","b'0.172,'","b'83,'","b'0.266,'","b'-0.472,'","b'9.792,'","b'84,'","b'-0.007,'","b'-0.027,'","b'0.716,'","b'86,'",b'32',,,
0,"b'173378.34445,'","b'3,'","b'0.273,'","b'-0.491,'","b'9.978,'","b'4,'","b'-0.002,'","b'0.000,'","b'0.000,'","b'86,'",b'32',,,,,,,,,,,,,,,,,,,
0,"b'173378.34734,'","b'3,'","b'0.276,'","b'-0.496,'","b'9.978,'","b'4,'","b'-0.002,'","b'-0.000,'","b'0.000,'","b'5,'","b'16.500,'","b'1.500,-47.375,'","b'86,'",b'32',,,,,,,,,,,,,,,,
0,"b'173378.34934,'","b'3,'","b'0.278,'","b'-0.497,'","b'9.981,'","b'4,'","b'-0.002,'","b'-0.000,'","b'0.000,'","b'86,'",b'32',,,,,,,,,,,,,,,,,,,
0,"b'173378.35073,'","b'3,'","b'0.265,'","b'-0.497,'","b'9.982,'","b'4,'","b'-0.002,'","b'0.000,'","b'0.001,'","b'86,'",b'32',,,,,,,,,,,,,,,,,,,
0,"b'173378.35238,'","b'3,'","b'0.268,'","b'-0.494,'","b'9.980,'","b'4,'","b'-0.001,'","b'0.000,'","b'0.000,'","b'86,'",b'32',,,,,,,,,,,,,,,,,,,
0,"b'173378.35437,'","b'3,'","b'0.266,'","b'-0.489,'","b'9.977,'","b'4,'","b'-0.001,'","b'0.000,'","b'-0.000,'","b'86,'",b'32',,,,,,,,,,,,,,,,,,,
0,"b'173378.35734,'","b'3,'","b'0.272,'","b'-0.484,'","b'9.968,'","b'4,'","b'-0.000,'","b'0.001,'","b'-0.000,'","b'5,'","b'16.438,'","b'1.188,-47.563,'","b'86,'",b'32',,,,,,,,,,,,,,,,
0,"b'173378.35935,'","b'3,'","b'0.282,'","b'-0.481,'","b'9.972,'","b'4,'","b'-0.001,'","b'0.001,'","b'0.000,'","b'86,'",b'32',,,,,,,,,,,,,,,,,,,
0,"b'173378.36061,'","b'3,'","b'0.281,'","b'-0.482,'","b'9.966,'","b'4,'","b'-0.002,'","b'0.001,'","b'0.000,'","b'86,'",b'32',,,,,,,,,,,,,,,,,,,
0,"b'173378.36240,'","b'3,'","b'0.270,'","b'-0.489,'","b'9.971,'","b'4,'","b'-0.001,'","b'0.000,'","b'0.000,'","b'86,'",b'32',,,,,,,,,,,,,,,,,,,
0,"b'173378.36437,'","b'3,'","b'0.271,'","b'-0.496,'","b'9.982,'","b'4,'","b'-0.000,'","b'0.000,'","b'0.000,'","b'86,'",b'32',,,,,,,,,,,,,,,,,,,
0,"b'173378.36734,'","b'3,'","b'0.266,'","b'-0.505,'","b'9.984,'","b'4,'","b'0.000,'","b'-0.000,'","b'0.000,'","b'5,'","b'16.500,'","b'0.938,-47.500,'","b'86,'",b'32',,,,,,,,,,,,,,,,
0,"b'173378.36935,'","b'3,'","b'0.278,'","b'-0.495,'","b'9.980,'","b'4,'","b'0.000,'","b'0.000,'","b'-0.000,'","b'86,'",b'32',,,,,,,,,,,,,,,,,,,
0,"b'173378.37061,'","b'3,'","b'0.278,'","b'-0.497,'","b'9.988,'","b'4,'","b'-0.001,'","b'0.000,'","b'-0.000,'","b'86,'",b'32',,,,,,,,,,,,,,,,,,,
